Geographic Area,Indicator,Sex,2016,2017,2018,2019
Belize,Out-of-school rate for youth of upper secondary school age,Male,30.4,,,
Belize,Out-of-school rate for youth of upper secondary school age,Female,35.1,,,
Côte d'Ivoire,Adjusted net attendance rate for adolescents of lower secondary school age,Total,40.3,,,
Côte d'Ivoire,Adjusted net attendance rate for adolescents of lower secondary school age,Male,42.8,,,
Côte d'Ivoire,Adjusted net attendance rate for adolescents of lower secondary school age,Female,37.6,,,
Côte d'Ivoire,Adjusted net attendance rate for youth of upper secondary school age,Total,16.8,,,
Côte d'Ivoire,Adjusted net attendance rate for youth of upper secondary school age,Male,20.2,,,
Côte d'Ivoire,Adjusted net attendance rate for youth of upper secondary school age,Female,13.5,,,
Côte d'Ivoire,Completion rate for adolescents of lower secondary school age,Total,28.3,,,
Côte d'Ivoire,Completion rate for adolescents of lower secondary school age,Male,36,,,
Côte d'Ivoire,Completion rate for adolescents of lower secondary school age,Female,22,,,
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Total,15.8,,,
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Male,17.2,,,
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Female,14.6,,,
Côte d'Ivoire,Out-of-school rate for adolescents of lower secondary school age,Total,32.5,,,
Côte d'Ivoire,Out-of-school rate for adolescents of lower secondary school age,Male,27.2,,,
Côte d'Ivoire,Out-of-school rate for adolescents of lower secondary school age,Female,38.1,,,
Côte d'Ivoire,Out-of-school rate for youth of upper secondary school age,Total,56.3,,,
Côte d'Ivoire,Out-of-school rate for youth of upper secondary school age,Male,45.9,,,
Côte d'Ivoire,Out-of-school rate for youth of upper secondary school age,Female,66.1,,,
Ethiopia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,27.2,,,
Ethiopia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,25.2,,,
Ethiopia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,29.3,,,
Ethiopia,Adjusted net attendance rate for youth of upper secondary school age,Total,7.9,,,
Ethiopia,Adjusted net attendance rate for youth of upper secondary school age,Male,6.7,,,
Ethiopia,Adjusted net attendance rate for youth of upper secondary school age,Female,9,,,
Ethiopia,Out-of-school rate for adolescents of lower secondary school age,Total,30.8,,,
Ethiopia,Out-of-school rate for adolescents of lower secondary school age,Male,30.2,,,
Ethiopia,Out-of-school rate for adolescents of lower secondary school age,Female,31.3,,,
Ethiopia,Out-of-school rate for youth of upper secondary school age,Total,54.1,,,
Ethiopia,Out-of-school rate for youth of upper secondary school age,Male,48,,,
Ethiopia,Out-of-school rate for youth of upper secondary school age,Female,59.4,,,
Guinea,Adjusted net attendance rate for adolescents of lower secondary school age,Total,30.3,,,
Guinea,Adjusted net attendance rate for adolescents of lower secondary school age,Male,33.3,,,
Guinea,Adjusted net attendance rate for adolescents of lower secondary school age,Female,27,,,
Guinea,Adjusted net attendance rate for youth of upper secondary school age,Total,16.4,,,
Guinea,Adjusted net attendance rate for youth of upper secondary school age,Male,19.2,,,
Guinea,Adjusted net attendance rate for youth of upper secondary school age,Female,13.5,,,
Guinea,Completion rate for adolescents of lower secondary school age,Total,32.9,,,
Guinea,Completion rate for adolescents of lower secondary school age,Male,42.8,,,
Guinea,Completion rate for adolescents of lower secondary school age,Female,24.5,,,
Guinea,Completion rate for youth of upper secondary education school age,Total,20.7,,,
Guinea,Completion rate for youth of upper secondary education school age,Male,28.8,,,
Guinea,Completion rate for youth of upper secondary education school age,Female,14.7,,,
Haiti,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,28.4,,
Haiti,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,22.9,,
Haiti,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,34.6,,
Haiti,Adjusted net attendance rate for youth of upper secondary school age,Total,,21.2,,
Haiti,Adjusted net attendance rate for youth of upper secondary school age,Male,,19.2,,
Haiti,Adjusted net attendance rate for youth of upper secondary school age,Female,,23.1,,
Haiti,Completion rate for adolescents of lower secondary school age,Total,,35.1,,
Haiti,Completion rate for adolescents of lower secondary school age,Male,,31.9,,
Haiti,Completion rate for adolescents of lower secondary school age,Female,,38.2,,
Haiti,Completion rate for youth of upper secondary education school age,Total,,16.8,,
Haiti,Completion rate for youth of upper secondary education school age,Male,,17.1,,
Haiti,Completion rate for youth of upper secondary education school age,Female,,16.5,,
Haiti,Out-of-school rate for adolescents of lower secondary school age,Total,,6.3,,
Haiti,Out-of-school rate for adolescents of lower secondary school age,Male,,7.2,,
Haiti,Out-of-school rate for adolescents of lower secondary school age,Female,,5.2,,
Haiti,Out-of-school rate for youth of upper secondary school age,Total,,14.6,,
Haiti,Out-of-school rate for youth of upper secondary school age,Male,,14.1,,
Haiti,Out-of-school rate for youth of upper secondary school age,Female,,15,,
Indonesia,Completion rate for adolescents of lower secondary school age,Total,,,61.7,
Indonesia,Completion rate for adolescents of lower secondary school age,Male,,,64.4,
Indonesia,Completion rate for adolescents of lower secondary school age,Female,,,59.1,
Indonesia,Completion rate for youth of upper secondary education school age,Total,,,38.3,
Indonesia,Completion rate for youth of upper secondary education school age,Male,,,40,
Indonesia,Completion rate for youth of upper secondary education school age,Female,,,36.6,
Indonesia,Out-of-school rate for adolescents of lower secondary school age,Total,,,6.9,
Indonesia,Out-of-school rate for adolescents of lower secondary school age,Male,,,8.1,
Indonesia,Out-of-school rate for adolescents of lower secondary school age,Female,,,5.7,
Indonesia,Out-of-school rate for youth of upper secondary school age,Total,,,22.8,
Indonesia,Out-of-school rate for youth of upper secondary school age,Male,,,24.4,
Indonesia,Out-of-school rate for youth of upper secondary school age,Female,,,21.2,
India,Adjusted net attendance rate for adolescents of lower secondary school age,Total,80.1,,,
India,Adjusted net attendance rate for adolescents of lower secondary school age,Male,79.7,,,
India,Adjusted net attendance rate for adolescents of lower secondary school age,Female,80.5,,,
India,Adjusted net attendance rate for youth of upper secondary school age,Total,64.3,,,
India,Adjusted net attendance rate for youth of upper secondary school age,Male,66.3,,,
India,Adjusted net attendance rate for youth of upper secondary school age,Female,62.1,,,
India,Completion rate for adolescents of lower secondary school age,Total,80.9,,,
India,Completion rate for adolescents of lower secondary school age,Male,82.4,,,
India,Completion rate for adolescents of lower secondary school age,Female,79.3,,,
India,Completion rate for youth of upper secondary education school age,Total,43,,,
India,Completion rate for youth of upper secondary education school age,Male,46.5,,,
India,Completion rate for youth of upper secondary education school age,Female,39.7,,,
India,Out-of-school rate for adolescents of lower secondary school age,Total,7.2,,,
India,Out-of-school rate for adolescents of lower secondary school age,Male,6.9,,,
India,Out-of-school rate for adolescents of lower secondary school age,Female,7.5,,,
India,Out-of-school rate for youth of upper secondary school age,Total,23.3,,,
India,Out-of-school rate for youth of upper secondary school age,Male,21.1,,,
India,Out-of-school rate for youth of upper secondary school age,Female,25.7,,,
Iraq,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,57.5,
Iraq,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,57.5,
Iraq,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,57.5,
Iraq,Adjusted net attendance rate for youth of upper secondary school age,Total,,,33.1,
Iraq,Adjusted net attendance rate for youth of upper secondary school age,Male,,,31,
Iraq,Adjusted net attendance rate for youth of upper secondary school age,Female,,,35.3,
Iraq,Completion rate for adolescents of lower secondary school age,Total,,,46.4,
Iraq,Completion rate for adolescents of lower secondary school age,Male,,,46.2,
Iraq,Completion rate for adolescents of lower secondary school age,Female,,,46.6,
Iraq,Completion rate for youth of upper secondary education school age,Total,,,44.3,
Iraq,Completion rate for youth of upper secondary education school age,Male,,,45.2,
Iraq,Completion rate for youth of upper secondary education school age,Female,,,43.3,
Iraq,Out-of-school rate for adolescents of lower secondary school age,Total,,,21.1,
Iraq,Out-of-school rate for adolescents of lower secondary school age,Male,,,14.7,
Iraq,Out-of-school rate for adolescents of lower secondary school age,Female,,,27.7,
Iraq,Out-of-school rate for youth of upper secondary school age,Total,,,40.1,
Iraq,Out-of-school rate for youth of upper secondary school age,Male,,,34.7,
Iraq,Out-of-school rate for youth of upper secondary school age,Female,,,46.1,
Jordan,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,89.1,
Jordan,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,88.6,
Jordan,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,89.6,
Jordan,Adjusted net attendance rate for youth of upper secondary school age,Total,,,70.8,
Jordan,Adjusted net attendance rate for youth of upper secondary school age,Male,,,66.8,
Jordan,Adjusted net attendance rate for youth of upper secondary school age,Female,,,74.8,
Jordan,Completion rate for adolescents of lower secondary school age,Total,,,87,
Jordan,Completion rate for adolescents of lower secondary school age,Male,,,86.2,
Jordan,Completion rate for adolescents of lower secondary school age,Female,,,87.8,
Jordan,Completion rate for youth of upper secondary education school age,Total,,,55.7,
Jordan,Completion rate for youth of upper secondary education school age,Male,,,48.8,
Jordan,Completion rate for youth of upper secondary education school age,Female,,,63.4,
Lao People's Democratic Republic,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,60.5,,
Lao People's Democratic Republic,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,59.4,,
Lao People's Democratic Republic,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,61.5,,
Lao People's Democratic Republic,Adjusted net attendance rate for youth of upper secondary school age,Total,,38.1,,
Lao People's Democratic Republic,Adjusted net attendance rate for youth of upper secondary school age,Male,,37.6,,
Lao People's Democratic Republic,Adjusted net attendance rate for youth of upper secondary school age,Female,,38.6,,
Lao People's Democratic Republic,Out-of-school rate for adolescents of lower secondary school age,Total,,16.6,,
Lao People's Democratic Republic,Out-of-school rate for adolescents of lower secondary school age,Male,,15.2,,
Lao People's Democratic Republic,Out-of-school rate for adolescents of lower secondary school age,Female,,18,,
Lao People's Democratic Republic,Out-of-school rate for youth of upper secondary school age,Total,,38.1,,
Lao People's Democratic Republic,Out-of-school rate for youth of upper secondary school age,Male,,34.8,,
Lao People's Democratic Republic,Out-of-school rate for youth of upper secondary school age,Female,,41.8,,
Myanmar,Adjusted net attendance rate for adolescents of lower secondary school age,Total,69,,,
Myanmar,Adjusted net attendance rate for adolescents of lower secondary school age,Male,66.9,,,
Myanmar,Adjusted net attendance rate for adolescents of lower secondary school age,Female,71,,,
Myanmar,Adjusted net attendance rate for youth of upper secondary school age,Total,35.5,,,
Myanmar,Adjusted net attendance rate for youth of upper secondary school age,Male,29.9,,,
Myanmar,Adjusted net attendance rate for youth of upper secondary school age,Female,40.9,,,
Myanmar,Out-of-school rate for adolescents of lower secondary school age,Total,16.5,,,
Myanmar,Out-of-school rate for adolescents of lower secondary school age,Male,15.5,,,
Myanmar,Out-of-school rate for adolescents of lower secondary school age,Female,17.4,,,
Myanmar,Out-of-school rate for youth of upper secondary school age,Total,51.6,,,
Myanmar,Out-of-school rate for youth of upper secondary school age,Male,54.3,,,
Myanmar,Out-of-school rate for youth of upper secondary school age,Female,48.9,,,
Malawi,Adjusted net attendance rate for adolescents of lower secondary school age,Total,28,,,
Malawi,Adjusted net attendance rate for adolescents of lower secondary school age,Male,25.2,,,
Malawi,Adjusted net attendance rate for adolescents of lower secondary school age,Female,30.8,,,
Malawi,Adjusted net attendance rate for youth of upper secondary school age,Total,17.4,,,
Malawi,Adjusted net attendance rate for youth of upper secondary school age,Male,16.7,,,
Malawi,Adjusted net attendance rate for youth of upper secondary school age,Female,18.4,,,
Malawi,Completion rate for adolescents of lower secondary school age,Total,22.2,,,
Malawi,Completion rate for adolescents of lower secondary school age,Male,23.1,,,
Malawi,Completion rate for adolescents of lower secondary school age,Female,21.3,,,
Malawi,Completion rate for youth of upper secondary education school age,Total,14,,,
Malawi,Completion rate for youth of upper secondary education school age,Male,15.3,,,
Malawi,Completion rate for youth of upper secondary education school age,Female,12.9,,,
Malawi,Out-of-school rate for adolescents of lower secondary school age,Total,8,,,
Malawi,Out-of-school rate for adolescents of lower secondary school age,Male,8,,,
Malawi,Out-of-school rate for adolescents of lower secondary school age,Female,7.9,,,
Malawi,Out-of-school rate for youth of upper secondary school age,Total,28.9,,,
Malawi,Out-of-school rate for youth of upper secondary school age,Male,22.9,,,
Malawi,Out-of-school rate for youth of upper secondary school age,Female,36.4,,,
Nepal,Adjusted net attendance rate for adolescents of lower secondary school age,Total,46.4,,,
Nepal,Adjusted net attendance rate for adolescents of lower secondary school age,Male,46.2,,,
Nepal,Adjusted net attendance rate for adolescents of lower secondary school age,Female,46.6,,,
Nepal,Adjusted net attendance rate for youth of upper secondary school age,Total,43.7,,,
Nepal,Adjusted net attendance rate for youth of upper secondary school age,Male,43.2,,,
Nepal,Adjusted net attendance rate for youth of upper secondary school age,Female,44.2,,,
Pakistan,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,33.2,
Pakistan,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,33.7,
Pakistan,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,32.7,
Pakistan,Adjusted net attendance rate for youth of upper secondary school age,Total,,,32.6,
Pakistan,Adjusted net attendance rate for youth of upper secondary school age,Male,,,35.9,
Pakistan,Adjusted net attendance rate for youth of upper secondary school age,Female,,,29.4,
Pakistan,Out-of-school rate for adolescents of lower secondary school age,Total,,,26.9,
Pakistan,Out-of-school rate for adolescents of lower secondary school age,Male,,,21.7,
Pakistan,Out-of-school rate for adolescents of lower secondary school age,Female,,,31.9,
Pakistan,Out-of-school rate for youth of upper secondary school age,Total,,,45.9,
Pakistan,Out-of-school rate for youth of upper secondary school age,Male,,,37.5,
Pakistan,Out-of-school rate for youth of upper secondary school age,Female,,,54.2,
Philippines,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,74.1,,
Philippines,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,70.5,,
Philippines,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,78.1,,
Philippines,Adjusted net attendance rate for youth of upper secondary school age,Total,,41,,
Philippines,Adjusted net attendance rate for youth of upper secondary school age,Male,,31.4,,
Philippines,Adjusted net attendance rate for youth of upper secondary school age,Female,,53.5,,
Philippines,Out-of-school rate for adolescents of lower secondary school age,Total,,4.3,,
Philippines,Out-of-school rate for adolescents of lower secondary school age,Male,,5.3,,
Philippines,Out-of-school rate for adolescents of lower secondary school age,Female,,3.2,,
Philippines,Out-of-school rate for youth of upper secondary school age,Total,,9.1,,
Philippines,Out-of-school rate for youth of upper secondary school age,Male,,12.8,,
Philippines,Out-of-school rate for youth of upper secondary school age,Female,,4.3,,
Democratic People's Republic of Korea,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,96.1,,
Democratic People's Republic of Korea,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,97.8,,
Democratic People's Republic of Korea,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,94.4,,
Democratic People's Republic of Korea,Adjusted net attendance rate for youth of upper secondary school age,Total,,94.8,,
Democratic People's Republic of Korea,Adjusted net attendance rate for youth of upper secondary school age,Male,,94.7,,
Democratic People's Republic of Korea,Adjusted net attendance rate for youth of upper secondary school age,Female,,94.9,,
Democratic People's Republic of Korea,Completion rate for adolescents of lower secondary school age,Total,,99.8,,
Democratic People's Republic of Korea,Completion rate for adolescents of lower secondary school age,Male,,99.8,,
Democratic People's Republic of Korea,Completion rate for adolescents of lower secondary school age,Female,,99.9,,
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Total,,99.9,,
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Male,,99.7,,
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Female,,100,,
Democratic People's Republic of Korea,Out-of-school rate for adolescents of lower secondary school age,Total,,0.2,,
Democratic People's Republic of Korea,Out-of-school rate for adolescents of lower secondary school age,Male,,0,,
Democratic People's Republic of Korea,Out-of-school rate for adolescents of lower secondary school age,Female,,0.3,,
Democratic People's Republic of Korea,Out-of-school rate for youth of upper secondary school age,Total,,0.6,,
Democratic People's Republic of Korea,Out-of-school rate for youth of upper secondary school age,Male,,0.7,,
Democratic People's Republic of Korea,Out-of-school rate for youth of upper secondary school age,Female,,0.5,,
Romania,Adjusted net attendance rate for adolescents of lower secondary school age,Total,90,,,
Romania,Adjusted net attendance rate for adolescents of lower secondary school age,Male,90.3,,,
Romania,Adjusted net attendance rate for adolescents of lower secondary school age,Female,89.8,,,
Romania,Out-of-school rate for adolescents of lower secondary school age,Total,10,,,
Romania,Out-of-school rate for adolescents of lower secondary school age,Male,9.7,,,
Romania,Out-of-school rate for adolescents of lower secondary school age,Female,10.2,,,
Senegal,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,32.6,,
Senegal,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,31,,
Senegal,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,34.1,,
Senegal,Adjusted net attendance rate for youth of upper secondary school age,Total,,14.6,,
Senegal,Adjusted net attendance rate for youth of upper secondary school age,Male,,13.7,,
Senegal,Adjusted net attendance rate for youth of upper secondary school age,Female,,15.4,,
Senegal,Completion rate for adolescents of lower secondary school age,Total,,26.2,,
Senegal,Completion rate for adolescents of lower secondary school age,Male,,28.2,,
Senegal,Completion rate for adolescents of lower secondary school age,Female,,24.3,,
Senegal,Completion rate for youth of upper secondary education school age,Total,,12,,
Senegal,Completion rate for youth of upper secondary education school age,Male,,14.3,,
Senegal,Completion rate for youth of upper secondary education school age,Female,,10.2,,
Senegal,Out-of-school rate for adolescents of lower secondary school age,Total,,38.6,,
Senegal,Out-of-school rate for adolescents of lower secondary school age,Male,,40.6,,
Senegal,Out-of-school rate for adolescents of lower secondary school age,Female,,36.6,,
Senegal,Out-of-school rate for youth of upper secondary school age,Total,,54.7,,
Senegal,Out-of-school rate for youth of upper secondary school age,Male,,52.3,,
Senegal,Out-of-school rate for youth of upper secondary school age,Female,,57,,
Sierra Leone,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,36.2,,
Sierra Leone,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,36.2,,
Sierra Leone,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,36.3,,
Sierra Leone,Adjusted net attendance rate for youth of upper secondary school age,Total,,28.6,,
Sierra Leone,Adjusted net attendance rate for youth of upper secondary school age,Male,,29.9,,
Sierra Leone,Adjusted net attendance rate for youth of upper secondary school age,Female,,27.5,,
Sierra Leone,Completion rate for adolescents of lower secondary school age,Total,,44.2,,
Sierra Leone,Completion rate for adolescents of lower secondary school age,Male,,47.3,,
Sierra Leone,Completion rate for adolescents of lower secondary school age,Female,,41.9,,
Sierra Leone,Completion rate for youth of upper secondary education school age,Total,,21.7,,
Sierra Leone,Completion rate for youth of upper secondary education school age,Male,,27.4,,
Sierra Leone,Completion rate for youth of upper secondary education school age,Female,,17.5,,
Sierra Leone,Out-of-school rate for adolescents of lower secondary school age,Total,,19,,
Sierra Leone,Out-of-school rate for adolescents of lower secondary school age,Male,,20.2,,
Sierra Leone,Out-of-school rate for adolescents of lower secondary school age,Female,,17.6,,
Sierra Leone,Out-of-school rate for youth of upper secondary school age,Total,,36,,
Sierra Leone,Out-of-school rate for youth of upper secondary school age,Male,,31.4,,
Sierra Leone,Out-of-school rate for youth of upper secondary school age,Female,,39.7,,
Thailand,Adjusted net attendance rate for adolescents of lower secondary school age,Total,84.4,,,
Thailand,Adjusted net attendance rate for adolescents of lower secondary school age,Male,82.2,,,
Thailand,Adjusted net attendance rate for adolescents of lower secondary school age,Female,86.6,,,
Thailand,Adjusted net attendance rate for youth of upper secondary school age,Total,66.8,,,
Thailand,Adjusted net attendance rate for youth of upper secondary school age,Male,61,,,
Thailand,Adjusted net attendance rate for youth of upper secondary school age,Female,72.9,,,
Thailand,Completion rate for adolescents of lower secondary school age,Total,81.7,,,
Thailand,Completion rate for adolescents of lower secondary school age,Male,76.2,,,
Thailand,Completion rate for adolescents of lower secondary school age,Female,87.6,,,
Thailand,Completion rate for youth of upper secondary education school age,Total,56,,,
Thailand,Completion rate for youth of upper secondary education school age,Male,50.1,,,
Thailand,Completion rate for youth of upper secondary education school age,Female,61.9,,,
Tajikistan,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,97.2,,
Tajikistan,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,98,,
Tajikistan,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,96.3,,
Tajikistan,Adjusted net attendance rate for youth of upper secondary school age,Total,,80.5,,
Tajikistan,Adjusted net attendance rate for youth of upper secondary school age,Male,,87.4,,
Tajikistan,Adjusted net attendance rate for youth of upper secondary school age,Female,,73.6,,
Tajikistan,Completion rate for adolescents of lower secondary school age,Total,,94.2,,
Tajikistan,Completion rate for adolescents of lower secondary school age,Male,,95.4,,
Tajikistan,Completion rate for adolescents of lower secondary school age,Female,,93.5,,
Tajikistan,Completion rate for youth of upper secondary education school age,Total,,69.5,,
Tajikistan,Completion rate for youth of upper secondary education school age,Male,,80.3,,
Tajikistan,Completion rate for youth of upper secondary education school age,Female,,62.7,,
Tajikistan,Out-of-school rate for adolescents of lower secondary school age,Total,,2.8,,
Tajikistan,Out-of-school rate for adolescents of lower secondary school age,Male,,1.3,,
Tajikistan,Out-of-school rate for adolescents of lower secondary school age,Female,,4.4,,
Tajikistan,Out-of-school rate for youth of upper secondary school age,Total,,27.7,,
Tajikistan,Out-of-school rate for youth of upper secondary school age,Male,,18,,
Tajikistan,Out-of-school rate for youth of upper secondary school age,Female,,37.3,,
Turkmenistan,Adjusted net attendance rate for adolescents of lower secondary school age,Total,98,,,
Turkmenistan,Adjusted net attendance rate for adolescents of lower secondary school age,Male,97.7,,,
Turkmenistan,Adjusted net attendance rate for adolescents of lower secondary school age,Female,98.3,,,
Turkmenistan,Adjusted net attendance rate for youth of upper secondary school age,Total,95.3,,,
Turkmenistan,Adjusted net attendance rate for youth of upper secondary school age,Male,95,,,
Turkmenistan,Adjusted net attendance rate for youth of upper secondary school age,Female,95.6,,,
Turkmenistan,Out-of-school rate for adolescents of lower secondary school age,Total,0.4,,,
Turkmenistan,Out-of-school rate for adolescents of lower secondary school age,Male,0.4,,,
Turkmenistan,Out-of-school rate for adolescents of lower secondary school age,Female,0.4,,,
Turkmenistan,Out-of-school rate for youth of upper secondary school age,Total,1.1,,,
Turkmenistan,Out-of-school rate for youth of upper secondary school age,Male,0.7,,,
Turkmenistan,Out-of-school rate for youth of upper secondary school age,Female,1.5,,,
Timor-Leste,Adjusted net attendance rate for adolescents of lower secondary school age,Total,54.2,,,
Timor-Leste,Adjusted net attendance rate for adolescents of lower secondary school age,Male,47.9,,,
Timor-Leste,Adjusted net attendance rate for adolescents of lower secondary school age,Female,60.4,,,
Timor-Leste,Adjusted net attendance rate for youth of upper secondary school age,Total,37.7,,,
Timor-Leste,Adjusted net attendance rate for youth of upper secondary school age,Male,32.4,,,
Timor-Leste,Adjusted net attendance rate for youth of upper secondary school age,Female,43.6,,,
Timor-Leste,Completion rate for adolescents of lower secondary school age,Total,66,,,
Timor-Leste,Completion rate for adolescents of lower secondary school age,Male,62.6,,,
Timor-Leste,Completion rate for adolescents of lower secondary school age,Female,69.7,,,
Timor-Leste,Completion rate for youth of upper secondary education school age,Total,52,,,
Timor-Leste,Completion rate for youth of upper secondary education school age,Male,49.1,,,
Timor-Leste,Completion rate for youth of upper secondary education school age,Female,54.7,,,
Timor-Leste,Out-of-school rate for adolescents of lower secondary school age,Total,8.7,,,
Timor-Leste,Out-of-school rate for adolescents of lower secondary school age,Male,9.6,,,
Timor-Leste,Out-of-school rate for adolescents of lower secondary school age,Female,7.8,,,
Timor-Leste,Out-of-school rate for youth of upper secondary school age,Total,16.6,,,
Timor-Leste,Out-of-school rate for youth of upper secondary school age,Male,18.7,,,
Timor-Leste,Out-of-school rate for youth of upper secondary school age,Female,14.4,,,
United Republic of Tanzania,Adjusted net attendance rate for adolescents of lower secondary school age,Total,27.7,,,
United Republic of Tanzania,Adjusted net attendance rate for adolescents of lower secondary school age,Male,25,,,
United Republic of Tanzania,Adjusted net attendance rate for adolescents of lower secondary school age,Female,30.5,,,
United Republic of Tanzania,Adjusted net attendance rate for youth of upper secondary school age,Total,3.1,,,
United Republic of Tanzania,Adjusted net attendance rate for youth of upper secondary school age,Male,3.2,,,
United Republic of Tanzania,Adjusted net attendance rate for youth of upper secondary school age,Female,3,,,
United Republic of Tanzania,Completion rate for youth of upper secondary education school age,Total,29.3,,,
